kakenhi_code	name_ja	url	name_en
18001	琉球大学	https://www.u-ryukyu.ac.jp/	University of the Ryukyus
20101	札幌医科大学	https://www.sapmed.ac.jp/	Sapporo Medical University
20102	釧路公立大学	https://www.kushiro-pu.ac.jp/	Kushiro Public University of Economics
20103	公立はこだて未来大学	https://www.fun.ac.jp/	Future University Hakodate
20104	名寄市立大学	https://www.nayoro-np.com/	Nayoro City University
20105	札幌市立大学	https://www.scu.ac.jp/	Sapporo City University
20106	公立千歳科学技術大学	https://www.mynavi.jp/	Chitose Institute of Science and Technology
20107	旭川市立大学	https://www.asahikawa-u.ac.jp/	Asahikawa City University
21101	青森公立大学	https://www.rikunabi.com/	Aomori Public University
21102	青森県立保健大学	https://www.auhw.ac.jp/	Aomori University of Health and Welfare
21201	岩手県立大学	https://www.iwate-pu.ac.jp/	Iwate Prefectural University
21301	宮城大学	https://www.myu.ac.jp/	Miyagi University
21401	秋田県立大学	https://www.akita-pu.ac.jp/	Akita Prefectural University
21402	国際教養大学	https://www.aiu.ac.jp/	Akita International University
21403	秋田公立美術大学	https://www.artscenter-akita.jp/	arts center akita
21501	山形県立保健医療大学	https://www.kango-roo.com/	Yamagata Prefectural University of Health Sciences
21502	山形県立米沢栄養大学	https://www.yamagata-u.ac.jp/	Yamagata University
21503	東北農林専門職大学	https://www.yamagata.jp/	
21601	福島県立医科大学	https://www.fmu.ac.jp/	Fukushima Medical University. A ll Rights Reserved
21602	会津大学	https://www.u-aizu.ac.jp/	UoA - University of Aizu
22101	茨城県立医療大学	https://www.ipu.ac.jp/	Ibaraki Prefectural University of Health Sciences
22301	高崎経済大学	https://www.field-kaihatsu.co.jp/	Takasaki City University of Economics
22302	群馬県立女子大学	https://www.cocolog-nifty.com/	Gunma Prefectural Women's University
22303	前橋工科大学	https://www.maebashi-it.ac.jp/	Maebashi Institute of Technology. All Rights
22304	群馬県立県民健康科学大学	https://www.kango-roo.com/	Gunma Prefectural College of Health Sciences
22401	埼玉県立大学	https://www.spu.ac.jp/	Saitama Prefectural University
22501	千葉県立保健医療大学	https://www.chiba.lg.jp/	Chiba Prefectural University of Health Sciences
22604	東京都立大学	https://www.tmu.ac.jp/	Tokyo Metropolitan University
22605	東京都立産業技術大学院大学	https://www.aiit.ac.jp/	Advanced Institute of Industrial Technology
22701	横浜市立大学	https://www.yokohama-cu.ac.jp/	Yokohama City University
22702	神奈川県立保健福祉大学	https://www.kuhs.ac.jp/	Kanagawa University of Human Services
22703	川崎市立看護大学	https://www.kawasaki-cn.ac.jp/	Education
23101	新潟県立看護大学	https://www.nirin.jp/	Niigata College of Nursing
23102	新潟県立大学	https://www.unii.ac.jp/	University of Niigata Prefecture
23103	長岡造形大学	https://www.nagaoka-id.ac.jp/	Nagaoka Institute of Design
23104	三条市立大学	https://www.sanjo-u.ac.jp/	Sanjo City University
23201	富山県立大学	https://www.pu-toyama.ac.jp/	Toyama Prefectural University
23301	金沢美術工芸大学	https://www.keizai.biz/	Kanazawa College of Art
23302	石川県立看護大学	https://www.ishikawa-nu.ac.jp/	S Ishikawa Prefectural Nursing University
23303	石川県立大学	https://www.ishikawa-pu.ac.jp/	Ishikawa Prefectural University
23304	公立小松大学	https://www.komatsu-u.ac.jp/	@2026 Komatsu University
23401	福井県立大学	https://www.fpu.ac.jp/	Fukui Prefectural University. All Rights Reserved Top
23402	敦賀市立看護大学	https://www.tsuruga-nu.ac.jp/	Tsuruga Nursing University
23501	都留文科大学	https://www.tsuru.ac.jp/	Tsuru University
23503	山梨県立大学	https://www.yamanashi-ken.ac.jp/	Yamanashi Prefectural University
23601	長野県看護大学	https://www.nagano-nurs.ac.jp/	Nagano College of Nursing
23602	長野大学	https://www.nagano.ac.jp/	Nagano University
23603	長野県立大学	https://www.u-nagano.ac.jp/	The University of Nagano
23604	公立諏訪東京理科大学	https://www.sus.ac.jp/	Suwa University of Science
23701	岐阜薬科大学	https://www.gifu-pu.ac.jp/	Gifu Pharmaceutical University
23702	岐阜県立看護大学	https://www.gifu-cn.ac.jp/	Gifu College of Nursing
23703	情報科学芸術大学院大学	https://www.iamas.ac.jp/	Institute of Advanced Media Arts and Sciences [IAMAS]
23803	静岡県立大学	https://www.u-shizuoka-ken.ac.jp/	University of Shizuoka
23804	静岡文化芸術大学	https://www.suac.ac.jp/	Shizuoka University of Art and Culture
23805	静岡県立農林環境専門職大学	https://www.drp.ne.jp/	Shizuoka Professional University of Agriculture
23806	静岡社会健康医学大学院大学	https://www.s-sph.ac.jp/	Shizuoka Graduate School of Public Health
23901	愛知県立大学	https://www.aichi-pu.ac.jp/	Aichi Prefectural University
23902	愛知県立芸術大学	https://www.fc2.com/	Aichi Prefectural University of the Arts
23903	名古屋市立大学	https://www.nagoya-cu.ac.jp/	Nagoya City University
24102	三重県立看護大学	https://www.mcn.ac.jp/	Mie Prefectural College Of Nursing
24201	滋賀県立大学	https://www.usp.ac.jp/	The University of Shiga Prefecture
24301	京都市立芸術大学	https://www.kcua.ac.jp/	️Kyoto City University of Arts
24302	京都府立大学	https://www.kpu.ac.jp/	Kyoto Prefectural University
24303	京都府立医科大学	https://www.kpu-m.ac.jp/	KPUM Medical Innovation Core for Society
24304	福知山公立大学	https://www.fukuchiyama.ac.jp/	The University of Fukuchiyama
24402	大阪市立大学	https://www.osaka-cu.ac.jp/	Osaka City University (OCU)
24403	大阪府立大学	https://www.osakafu-u.ac.jp/	Osaka Prefecture University
24405	大阪公立大学	https://www.omu.ac.jp/	Osaka Metropolitan University
24501	神戸市外国語大学	https://www.kobe-cufs.ac.jp/	Kobe City University of Foreign Studies
24505	神戸市看護大学	https://www.kobe-ccn.ac.jp/	Kobe City College of Nursing
24506	兵庫県立大学	https://www.u-hyogo.ac.jp/	University of Hyogo
24507	芸術文化観光専門職大学	https://www.at-hyogo.jp/	
24601	奈良県立医科大学	https://www.naramed-u.ac.jp/	Nara Medical University
24602	奈良県立大学	https://www.narapu.ac.jp/	Nara Prefectural University
24701	和歌山県立医科大学	https://www.wakayama-med.ac.jp/	Wakayama Medical University
25101	公立鳥取環境大学	https://www.kankyo-u.ac.jp/	Tottori University of Environmental Studies
25201	島根県立大学	https://www.u-shimane.ac.jp/	The University of Shimane
25301	岡山県立大学	https://www.oka-pu.ac.jp/	Okayama Prefectural University
25302	新見公立大学	https://www.niimi-u.ac.jp/	Niimi University (NiU)
25403	広島市立大学	https://www.hiroshima-cu.ac.jp/	Hiroshima City University
25405	尾道市立大学	https://www.onomichi-u.ac.jp/	Onomichi City University
25406	県立広島大学	https://www.pu-hiroshima.ac.jp/	Prefectural University of Hiroshima
25407	福山市立大学	https://www.fcu.ac.jp/	myDate = new Date();myYear = myDate.getFullYear();document.write(myYear); Fukuyama City University
25408	叡啓大学	https://www.nikkei.com/	EIKEI UNIVERSITY OF HIROSHIMA(Japan)
25501	下関市立大学	https://www.shimonoseki-cu.ac.jp/	Shimonoseki City University
25502	山口県立大学	https://www.yamaguchi-pu.ac.jp/	Yamaguchi Prefectural University
25503	山陽小野田市立山口東京理科大学	https://www.mynavi.jp/	Sanyo-Onoda City University
25504	周南公立大学	https://www.shunan-u.ac.jp/	Shunan University
26201	香川県立保健医療大学	https://www.bunri-u.ac.jp/	Tokushima Bunri University
26301	愛媛県立医療技術大学	https://www.epu.ac.jp/	Ehime Prefectural University Of Health Sciences
26401	高知県立大学	https://www.u-kochi.ac.jp/	University of Kochi
26402	高知工科大学	https://www.kochi-tech.ac.jp/	Kochi University of Technology
27101	北九州市立大学	https://www.kitakyu-u.ac.jp/	The University of Kitakyushu
27102	九州歯科大学	https://www.kyushi-doso.jp/	Kyushu Dental University
27103	福岡女子大学	https://www.fwu.ac.jp/	Fukuoka Women's University
27104	福岡県立大学	https://www.fukuoka-pu.ac.jp/	Fukuoka Prefectural University
27301	長崎県立大学	https://www.sun.ac.jp/	[[University of Nagasaki]]
27401	熊本県立大学	https://www.pu-kumamoto.ac.jp/	Prefectural University of Kumamoto
27501	大分県立看護科学大学	https://www.oita-nhs.ac.jp/	Oita University of Nursing and Health Sciences
